manufacturer,brand,product,device,marketing_name,cpu_model,cpu_make,ram_mb
vivo,vivo,2026M,2026,V2042,MT6765,Mediatek,3072
LENOVO,Lenovo,LenovoTB-J706L_RU,J706L,Lenovo Tab P11 Pro,SDM712,Qualcomm,4096
vivo,vivo,2027_EEA,2027,V2027,SM4250,Qualcomm,6144
HMD Global,Nokia,BabyGroot_00FD,BGT_sprout,Nokia 8.3 5G,SM7250,Qualcomm,8192
vivo,vivo,2006VNG,2006,V2006,SM7250,Qualcomm,8192
OPPO,OPPO,CPH2209T2,OP4C51L1,Reno4 F,MT6779p95,Mediatek,6144
LENOVO,Lenovo,LenovoTB-J606F_RU,J606F,Lenovo Tab P11,SDM660,Qualcomm,4096
OPPO,OPPO,CPH2125TR,OP4C51L1,Reno4 Lite,MT6779p95,Mediatek,6144
vivo,vivo,2027M2,2027,V2028,SM4250,Qualcomm,6144
vivo,vivo,2025TN,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2004,2004,X50,SM7150,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-J606L_RU,J606L,Lenovo Tab P11,SDM660,Qualcomm,4096
vivo,vivo,1804_RU,1804,vivo 1804,SDM660,Qualcomm,6144
vivo,vivo,1815_RU,1815,vivo 1815,MT6762,Mediatek,4096
vivo,vivo,2028E_TR,2028,V2028,SM4250,Qualcomm,3072
vivo,vivo,2006NG_RU,2006,X50 Pro,SM7250,Qualcomm,8192
vivo,vivo,2036M,2036,V2031,SM6115,Qualcomm,8192
OPPO,OPPO,CPH2025EEA,OP4BA2L1,Find X2 Pro,SM8250,Qualcomm,12288
vivo,vivo,1938N_RU,1938,vivo 1938,MT6765,Mediatek,4096
vivo,vivo,2027E_TR,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,2027,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,1904_RU,1904,vivo 1904,MT6762,Mediatek,3072
vivo,vivo,2027M3,2027,V2029_PK,SM4250,Qualcomm,6144
motorola,motorola,cebu_retail,cebu,moto g(9) power,SM6115,Qualcomm,4096
vivo,vivo,PD2031E,PD2031,V2031A,MT6853V/ZA,Mediatek,8192
OPPO,OPPO,CPH2139T2,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,1726_RU,1726,vivo 1726,MT6762,Mediatek,4096
vivo,vivo,2037TM,2037,V2038,MT6769T,Mediatek,4096
vivo,vivo,1938_PK,1938,vivo 1940,MT6765,Mediatek,4096
OPPO,OPPO,CPH2127,OP4EFDL1,A53,SM4250,Qualcomm,4096
asus,asus,EU_I001D,ASUS_I001_1,ROG Phone II,SM8150,Qualcomm,10240
OPPO,OPPO,CPH1979EEA,OP48A1L1,Reno Z,MT6779p90,Mediatek,4096
vivo,vivo,2025,2025,V2025,SM7125,Qualcomm,8192
vivo,vivo,2026E,2026,V2026,MT6765,Mediatek,3072
vivo,vivo,2015_RU,2015,vivo 2015,MT6765,Mediatek,3072
vivo,vivo,1920,1920,vivo 1920,SM6125,Qualcomm,8192
LENOVO,Lenovo,LenovoTB-8505F-EEA,8505F,Lenovo Tab M8,MT8766A,Mediatek,3072
vivo,vivo,2040,2040,V2040,SM6150,Qualcomm,8192
LGE,lge,mmh4p_fne,mmh4p,LG Q60,MT6762,Mediatek,3072
vivo,vivo,2027N_RU,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,1920N_RU,1920,vivo 1920,SM6125,Qualcomm,8192
vivo,vivo,2006G,2006,X50 Pro,SM7250,Qualcomm,8192
vivo,vivo,2036_RU,2036,V2036,SM6115,Qualcomm,8192
vivo,vivo,1818N_RU,1818N,vivo 1818,SDM675,Qualcomm,6144
vivo,vivo,2028E,2028,V2028,SM4250,Qualcomm,3072
vivo,vivo,2026C,2026,V2043,MT6765,Mediatek,3072
vivo,vivo,1816_RU,1816,vivo 1816,MT6762,Mediatek,2048
OPPO,OPPO,CPH2009EEA,OP4C2DL1,Find X2 Neo/Reno3 Pro,SM7250,Qualcomm,12288
vivo,vivo,2027E,2027,V2027,SM4250,Qualcomm,6144
vivo,vivo,PD2025,PD2024,V2025A,SM8250,Qualcomm,8192
OPPO,OPPO,CPH2173T2,OP4F57L1,Find X3 Pro,SM8350,Qualcomm,12288
vivo,vivo,1935,1935,vivo 1935,SM6125,Qualcomm,6144
LENOVO,Lenovo,LenovoTB-X306XA_EEA,X306XA,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
OPPO,OPPO,CPH1941EEA,OP4B80L1,A9 2020,SM6125,Qualcomm,4096
vivo,vivo,1727_RU,1727,vivo 1727,SDM450,Qualcomm,4096
vivo,vivo,1805_RU,1805,vivo 1805,SDM845,Qualcomm,8192
vivo,vivo,2006VNG_TR,2006,V2006,SM7250,Qualcomm,8192
OPPO,OPPO,CPH2065EEA,OP4BDCL1,Reno 4Z 5G,MT6873,Mediatek,8192
vivo,vivo,1915N_RU,1915,vivo 1915,MT6768,Mediatek,4096
vivo,vivo,1910N_RU,1910N,vivo 1910,SM6150,Qualcomm,8192
vivo,vivo,2101,2034,V2101,SDM439,Qualcomm,3072
OPPO,OPPO,CPH1921,OP4847,Reno 10x room,SM8150,Qualcomm,8192
vivo,vivo,1902D_RU,1902D,Y17,MT6765,Mediatek,4096
LENOVO,Lenovo,LenovoTB-8505X-RU,8505X,Lenovo Tab M8 ,MT8766A,Mediatek,3072
motorola,motorola,guam_retail,guam,moto e(7) plus,SM4250,Qualcomm,4096
OPPO,OPPO,CPH2135EEA,OP4EFDL1,A53s,SM4250,Qualcomm,4096
vivo,vivo,2015F,2015,vivo 2015,MT6765,Mediatek,3072
LENOVO,Lenovo,LenovoTB-8505X-EEA,8505X,Lenovo Tab M8 ,MT8766A,Mediatek,3072
OPPO,OPPO,CPH2131,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,1803_RU,1803,vivo 1803,MT6762,Mediatek,3072
LENOVO,Lenovo,LenovoTB-X306X_EE,X306X,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
LENOVO,Lenovo,LenovoTB-J706L_TR,J706L,Lenovo Tab P11 Pro,SDM712,Qualcomm,4096
LENOVO,Lenovo,LenovoYT-K606F_TR,K606F,Yoga Tab 13(ROW),SDM855,Qualcomm,8192
vivo,vivo,1806_RU,1806,vivo 1806,MT6771,Mediatek,6144
OPPO,OPPO,CPH2113,OP4BA5L1,CPH2113,SM7125,Qualcomm,8192
asus,asus,EU_I002D,ASUS_I002D,ZenFone 7 / 7 Pro (ZS670KS/ZS671KS),SM8250,Qualcomm,6144
vivo,vivo,1938,1938,vivo 1938,MT6765,Mediatek,4096
vivo,vivo,2037T,2037,V2037,MT6769T,Mediatek,4096
LENOVO,Lenovo,LenovoTB-X306F_TR,X306F,Lenovo Tab M10 HD (2nd Gen),MT8768T,Mediatek,2048
motorola,motorola,capri_retailn,capri,moto g(10),SM4350,Qualcomm,4096
vivo,vivo,2026EC,2026,V2043,MT6765,Mediatek,3072
OPPO,OPPO,CPH2185EEA,OP4F2F,CPH2185,MT6765,Mediatek,2048
OPPO,OPPO,CPH2133T2,OP4EFDL1,A53,SM4250,Qualcomm,4096
vivo,vivo,2026TM2,2026,V2043_21,MT6765,Mediatek,3072
vivo,vivo,2061T,2061,V2061,SM7125,Qualcomm,8192
