product,marketing_name,brand,cpu,cpu_make,device,memory_mb
hero2lteldu,Galaxy S7 Edge,samsung,Exynos 8890,Samsung,hero2lte,4096
gtexsltezt,Galaxy Tab A 7.0,samsung,SC9830I,Spreadtrum,gtexslteswa,1536
MAT80211,MAT80211,AthenaStellar,A133,Allwinner,MAT80211,2048
M40_Pro_EEA,M40 Pro_EEA,Teclast,T616,Spreadtrum,M40Pro_T,8192
Punisher_00RU,Nokia G50,Nokia,SM4350,Qualcomm,PHR,6144
connect_2_US,connect 2 US,g-mee,SC9832E,Spreadtrum,connect_2_US,2048
HITV105C, HITV105C,Hisense,T610,Spreadtrum,HITV105C,4096
BLADE_V_Ultra,BLADE V Ultra,ZTE,MSM8940,Qualcomm,P840T22,2048
c_pj_stack,Thinkpad Stack projector,Lenovo,Z8550,Intel,pj_stack_acc,2048
C5503,Xperia ZR,Sony,APQ8064,Qualcomm,C5503,2048
SG603SH,AQUOS Xx3 mini,SG,MSM8952,Qualcomm,SG603SH,3072
JOE,JOE,MAJESTIC,MT6580M,Mediatek,JOE,2048
MAR-LX1MmRU,HUAWEI P30 lite,HUAWEI,KIRIN710,HiSilicon,HWMAR,6144
kevin,Chromebook Plus,google,RK3399,Rockchip,kevin_cheets,4096
BODRUM_Hyundai,Android TV,Hyundai,t32,Mediatek,finch,1536
G2_Pro,G2 Pro,ADVAN,SC9863A,Spreadtrum,ADVAN_G2_Pro,3072
A85_RU,A85,Blackview,T606,Spreadtrum,A85,8192
Spark,Spark,Wileyfox,MT6735,Mediatek,porridgek3,2048
G5,NUU G5,BLU,MT6762,Spreadtrum,G0090,4096
conquest-F5,Conquest-F5,CONQUEST,MT6765,Mediatek,F5,6144
F_10XHD,F_10XHD,LINSAY,RK3326,Rockchip,F_10XHD,2048
X671B-GL,Infinix NOTE 12 Pro 5G,Infinix,MT6833V/PNZA,Mediatek,Infinix-X671B,8192
SEI400SVU4,SV11,SmartVU,AMLS905Y2,Amlogic,ICN,2048
Elite4K24A,NEXT Elite-4K 24,PANASONIC,MSM8996,Qualcomm,NEXT820,4096
X695-TR,NOTE 10 Pro,Infinix,MT6785,Mediatek,Infinix-X695,8192
MAX_1_PLUS,MAX_1_PLUS,YEZZ,SC9832E,Spreadtrum,MAX_1_PLUS,2048
MTCMSD6886UK_Linsar,Linsar,Linsar,T22,MStar,sadang,1536
RMX3151T2,realme 8i,realme,MT6781V/CD,Mediatek,RE54B4L1,4096
SW6H_Tesla,TESLA 4K SMART TV FF,Tesla,t32,Mediatek,SW6H,2048
Prime_A8,PRIME A8,POLYTRON,MT6737,Mediatek,POLYTRON_A552,3072
